"peak","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr1_21176610_21177206",3,33,65,25,56,0,11,2,85
"chr1_21334119_21334811",0,36,42,21,56,0,10,2,72
"chr1_21782709_21783982",2,77,110,64,92,0,26,5,176
"chr1_22024931_22026120",2,46,74,16,54,0,10,3,86
"chr1_22451636_22452257",5,34,44,24,40,2,10,7,75
"chr1_23344101_23344937",0,53,80,45,91,1,18,11,147
"chr1_23368109_23369390",0,91,131,83,153,0,30,14,240
"chr1_23691466_23692071",1,38,54,13,38,0,9,6,54
"chr1_23800511_23801011",1,28,47,25,55,0,9,2,75
"chr1_23958915_23960200",5,85,114,39,81,1,13,4,146
"chr1_23979924_23980740",6,56,77,30,73,5,11,2,113
"chr1_24642722_24643566",5,75,94,85,136,1,26,7,158
"chr1_24668978_24669803",8,115,137,21,59,3,16,7,100
"chr1_24672035_24672689",0,53,85,13,39,2,11,5,66
"chr1_24744881_24745499",1,51,71,50,116,0,18,6,148
"chr1_24847807_24848651",4,42,75,26,50,0,10,7,98
"chr1_25022294_25023084",8,66,92,37,88,4,15,6,162
"chr1_25033614_25034365",7,43,48,19,39,1,10,2,79
"chr1_25239645_25240326",10,35,74,28,59,6,11,6,98
"chr1_25246726_25247814",6,53,94,61,128,3,25,5,145
"chr1_25338084_25338744",1,28,54,33,68,4,14,4,99
"chr1_25429943_25431029",10,59,78,51,91,7,16,7,124
"chr1_25997893_25998492",6,43,76,48,60,2,16,1,121
"chr1_26110885_26112117",6,57,110,46,84,5,12,5,124
"chr1_26233706_26234462",4,52,96,79,144,4,18,7,210
"chr1_26431955_26432600",1,45,62,40,83,0,20,5,113
"chr1_26500412_26501373",2,38,46,32,57,1,13,6,98
"chr1_26541590_26542517",6,65,125,61,122,1,21,6,163
"chr1_26620082_26621494",15,66,110,57,109,4,25,10,166
"chr1_26787692_26788405",1,44,61,47,66,0,10,5,103
"chr1_26864728_26865491",2,56,76,43,95,2,24,5,123
"chr1_26921366_26922062",1,41,74,32,67,0,9,4,117
"chr1_27111947_27112545",1,54,72,30,54,2,12,3,82
"chr1_27154870_27155499",4,31,47,25,47,4,12,1,65
"chr1_27234110_27234851",2,42,69,55,94,0,15,3,113
"chr1_27321855_27322510",2,57,90,48,72,1,17,5,134
"chr1_27343131_27343650",0,35,54,20,50,1,1,1,68
"chr1_27489865_27490548",2,32,74,33,111,1,25,1,105
"chr1_27725501_27726108",5,64,103,56,124,1,23,10,190
"chr1_27772821_27773333",0,40,44,25,54,0,8,7,69
"chr1_27914439_27915012",2,46,71,25,69,4,14,5,85
"chr1_28088174_28089057",0,36,66,22,52,2,6,1,73
"chr1_28235817_28236345",0,40,42,28,39,0,11,1,82
"chr1_28246996_28247624",0,42,55,39,75,1,9,5,77
"chr1_28259111_28259963",0,52,55,37,62,0,15,6,116
"chr1_28505673_28506239",1,37,48,38,40,0,11,6,57
"chr1_28552644_28553260",0,32,53,32,70,0,12,3,78
"chr1_28581502_28582203",1,30,80,34,51,0,13,3,78
"chr1_28642820_28643464",0,32,78,47,69,0,12,3,106
"chr1_28736595_28737434",0,41,81,34,79,0,12,3,105
"chr1_28914069_28914919",0,69,55,38,81,1,13,2,99
"chr1_29181214_29182421",3,61,98,42,96,3,15,3,150
"chr1_30718052_30719117",3,76,108,80,150,4,27,7,226
"chr1_30756469_30757174",6,60,70,20,54,2,12,2,118
"chr1_31065567_31066156",2,37,85,29,55,1,11,3,95
"chr1_31296565_31297248",11,62,123,49,111,5,31,8,151
"chr1_31644436_31645358",0,86,114,71,104,0,29,10,168
"chr1_31938211_31938811",1,32,57,51,67,0,12,2,78
"chr1_32013344_32014123",3,60,105,74,116,1,17,6,186
"chr1_32072610_32073309",6,41,73,28,61,2,20,2,99
"chr1_32179440_32180047",1,26,55,28,59,0,17,6,87
"chr1_32222074_32222586",5,21,45,20,25,5,6,0,46
"chr1_32291632_32292218",1,38,39,20,63,0,6,2,89
"chr1_32394167_32394905",0,74,110,70,122,1,16,3,148
"chr1_32650365_32651457",3,63,98,61,78,2,21,4,128
"chr1_32817143_32817808",5,66,82,61,119,7,19,3,145
"chr1_33036525_33037297",4,45,77,26,61,0,10,1,89
"chr1_33127049_33127715",1,50,75,60,74,0,15,7,102
"chr1_33349775_33350401",2,18,38,9,32,0,10,1,59
"chr1_33472212_33472769",4,36,61,32,59,0,13,4,62
"chr1_35192970_35193571",0,58,79,47,76,0,23,7,120
"chr1_35557111_35557937",1,43,97,26,74,3,22,3,138
"chr1_35641206_35641784",0,14,33,12,24,2,7,3,34
"chr1_35769713_35770338",0,27,56,18,62,0,16,3,78
"chr1_35930638_35931531",0,49,70,34,47,1,11,2,72
"chr1_36088578_36089304",9,44,66,22,56,2,24,3,115
"chr1_36149308_36149887",6,75,87,74,118,2,14,8,151
"chr1_36223949_36224574",2,69,137,92,147,0,29,17,208
"chr1_36385783_36386398",2,57,73,50,76,1,12,6,114
"chr1_37690222_37690942",3,45,84,43,56,2,10,9,103
"chr1_37692019_37692710",2,50,89,35,79,0,19,4,120
"chr1_37859269_37860230",5,51,104,36,91,0,15,5,107
"chr1_37931612_37932196",2,43,72,30,56,4,11,4,92
"chr1_37989762_37990446",0,45,80,25,42,1,15,5,84
"chr1_38012302_38012855",1,38,78,49,83,0,8,4,116
"chr1_38859602_38860125",1,35,54,29,60,0,13,8,74
"chr1_39845622_39846280",1,35,55,21,34,0,16,4,56
"chr1_39934130_39934803",4,37,39,18,32,3,11,4,63
"chr1_39960557_39961099",2,24,26,10,20,3,10,1,40
"chr1_40039944_40040955",4,78,111,56,124,6,27,7,171
"chr1_40257648_40258425",2,65,103,54,73,0,32,5,152
"chr1_40531302_40531902",0,25,63,17,27,2,10,4,64
"chr1_40691287_40692271",2,70,117,80,141,2,23,15,180
"chr1_40862043_40862625",4,36,48,28,54,0,9,5,83
"chr1_40979289_40980159",1,59,101,45,88,0,19,5,132
"chr1_41360893_41361394",1,29,70,40,86,0,6,4,88
"chr1_42456151_42456969",0,48,72,22,57,0,11,8,75
"chr1_42462804_42463496",1,36,65,34,79,4,19,3,94
"chr1_42658003_42658685",1,40,73,23,48,1,10,4,72
"chr1_42682027_42682627",1,52,76,39,86,0,14,4,128
"chr1_42766734_42767545",1,62,113,62,152,1,27,7,205
"chr1_42816877_42817541",0,25,67,38,57,0,14,5,101
"chr1_42846227_42846793",10,39,69,31,66,1,8,6,73
"chr1_43358612_43359203",5,38,72,25,74,1,12,2,80
"chr1_43367649_43368698",8,53,63,26,52,2,17,5,93
"chr1_43649745_43650703",1,88,121,61,113,2,24,7,183
"chr1_43707077_43707894",6,41,68,40,80,2,13,3,125
"chr1_43946292_43946955",2,59,104,24,74,0,15,9,130
"chr1_43969589_43970235",0,39,46,17,37,0,9,4,62
"chr1_43974235_43975110",5,49,103,33,65,0,19,6,117
"chr1_44029797_44030427",6,28,42,19,28,1,9,6,52
"chr1_44775285_44775851",1,26,35,13,28,1,10,2,63
"chr1_44799720_44800530",5,66,109,55,120,1,17,4,125
"chr1_45303532_45304211",3,54,82,46,82,1,23,7,125
"chr1_45339789_45340579",1,42,77,29,72,2,15,4,102
"chr1_45490887_45491572",1,60,86,49,90,0,16,3,113
"chr1_45499872_45500541",3,52,86,34,76,0,17,4,123
"chr1_45521313_45522187",2,39,83,23,59,0,11,3,80
"chr1_45583239_45584470",7,61,130,45,117,1,25,9,157
"chr1_45686294_45686940",4,47,61,38,97,2,12,12,136
"chr1_45686947_45687509",4,52,69,41,92,0,13,8,128
"chr1_45750320_45751106",0,52,83,45,109,0,21,11,127
"chr1_46132534_46133402",0,77,143,70,125,2,14,11,130
"chr1_46247019_46247938",0,76,108,45,123,0,20,5,168
"chr1_46303017_46303851",2,42,74,32,67,0,16,5,108
"chr1_46604013_46604669",2,34,54,37,67,1,11,0,88
"chr1_46718847_46719449",0,42,83,32,80,0,17,9,105
"chr1_47313887_47314592",0,83,138,90,166,0,27,9,240
"chr1_47333436_47334475",1,35,82,32,71,0,15,2,89
"chr1_47437510_47438090",0,19,70,27,43,1,18,3,78
"chr1_50959988_50960623",1,50,106,45,102,3,15,6,144
"chr1_51729373_51729973",2,38,57,37,75,0,14,1,111
"chr1_51878265_51879140",4,77,121,57,131,2,28,9,187
"chr1_52055923_52056496",2,28,53,23,48,1,8,4,69
"chr1_52365866_52366684",1,58,130,87,163,0,41,7,209
"chr1_52404146_52404753",0,31,77,21,53,1,12,5,65
"chr1_52702806_52703759",1,38,53,29,39,1,11,3,50
"chr1_53196438_53197190",2,36,50,24,30,0,6,3,60
"chr1_53220045_53220782",0,40,73,17,49,0,12,4,103
"chr1_53325906_53326833",3,68,104,67,118,0,20,10,174
"chr1_53838069_53838858",7,60,112,42,102,5,18,8,143
"chr1_53945411_53946510",5,60,113,80,142,1,28,6,192
"chr1_54053024_54053778",6,102,164,94,172,2,39,10,195
"chr1_54199812_54200517",5,35,73,25,56,1,11,4,77
"chr1_54541997_54542969",4,51,91,37,93,3,24,4,150
"chr1_54715563_54716220",3,25,38,20,42,3,12,2,57
"chr1_54764299_54764993",4,67,151,68,156,3,24,16,183
"chr1_54886925_54887618",2,41,55,31,57,2,17,5,85
"chr1_55214926_55215700",6,34,49,17,35,3,10,2,51
"chr1_58546447_58547093",1,43,74,44,64,2,17,5,97
"chr1_58783826_58784500",8,67,136,61,112,3,23,8,166
"chr1_59296360_59297219",4,68,100,42,119,1,17,4,132
"chr1_61077744_61078385",4,24,76,37,70,1,20,5,86
"chr1_61724902_61725522",1,35,56,24,45,1,10,5,75
"chr1_62436059_62436871",4,136,252,138,249,1,68,17,324
"chr1_62783497_62784388",7,38,99,26,71,2,14,7,97
"chr1_63367152_63368025",1,39,99,43,93,4,22,5,128
"chr1_63523088_63523757",2,37,76,28,71,1,18,5,80
"chr1_64864004_64864570",1,26,49,19,27,1,11,3,57
"chr1_64895391_64895961",4,23,45,21,31,0,12,4,40
"chr1_65165507_65166083",1,28,52,24,49,0,10,2,56
"chr1_65420059_65420672",2,55,170,108,194,1,32,6,178
"chr1_65811836_65812432",1,24,62,29,45,3,9,3,62
"chr1_66335968_66336655",4,38,64,31,56,2,11,1,80
"chr1_66924669_66925543",0,94,213,161,268,0,47,14,308
"chr1_66929937_66930629",2,62,100,70,145,2,27,3,172
"chr1_67053586_67054655",6,54,102,49,97,0,20,5,107
"chr1_67430147_67430830",0,77,162,97,160,1,51,3,197
"chr1_67684886_67685507",0,76,190,128,243,1,43,8,259
"chr1_68496666_68497429",2,50,104,100,179,0,39,5,205
"chr1_70205314_70205936",3,33,88,50,102,0,18,8,94
"chr1_70221110_70221691",2,41,82,62,99,1,16,1,90
"chr1_70354260_70354999",1,40,109,54,105,1,17,7,115
"chr1_70410614_70411407",1,57,168,108,199,0,41,12,226
"chr1_70685238_70685769",2,14,26,27,53,1,6,3,66
"chr1_71049956_71050455",2,6,23,27,18,0,10,3,27
"chr1_71080831_71081583",0,46,82,67,99,0,26,6,95
"chr1_74197903_74198572",3,46,122,149,253,1,42,8,268
"chr1_74503997_74504580",2,7,32,19,29,4,10,2,28
"chr1_74732843_74733515",1,46,124,134,184,0,41,5,198
"chr1_74733779_74733977",0,9,17,18,28,0,6,2,33
"chr1_75724209_75725042",0,52,97,72,140,2,35,9,172
"chr1_75745293_75745828",1,21,71,51,72,0,18,2,51
"chr1_75785889_75786426",0,35,94,75,106,0,25,4,115
"chr1_76154089_76154773",1,17,32,28,38,3,12,5,50
"chr1_77218981_77219745",1,32,59,27,61,1,15,5,67
"chr1_77413518_77414175",3,18,55,21,47,1,15,5,59
"chr1_77682471_77683762",2,89,167,104,193,4,55,12,219
"chr1_77759376_77760184",1,38,69,29,73,0,24,3,98
"chr1_77779347_77779896",7,20,43,21,39,2,11,4,45
"chr1_77978878_77979750",0,63,160,77,135,1,40,6,141
"chr1_78004570_78005152",2,22,62,37,56,2,12,3,71
"chr1_81208308_81208987",1,26,57,31,59,1,11,1,76
"chr1_82225309_82225870",2,15,48,34,43,1,12,5,58
"chr1_83860348_83860972",3,16,39,26,46,1,11,0,51
"chr1_83998900_83999675",0,23,64,31,57,1,21,3,70
"chr1_84442143_84442645",1,29,49,27,32,0,16,4,50
"chr1_84479033_84479764",0,21,62,25,50,0,16,4,57
"chr1_84505877_84506810",2,85,149,86,175,0,24,8,173
"chr1_84573816_84574835",1,43,110,53,117,1,24,5,122
"chr1_84620539_84621228",1,37,71,34,77,0,18,5,80
"chr1_84690387_84690945",3,49,72,67,101,4,20,5,123
"chr1_84779729_84780366",3,30,65,27,71,1,9,5,59
"chr1_84854296_84854844",2,17,48,27,37,1,10,2,32
"chr1_84944726_84945350",12,16,45,14,44,5,10,3,50
"chr1_85276271_85277063",1,89,195,165,316,1,60,18,312
"chr1_85708114_85708772",0,37,120,84,130,0,25,5,144
"chr1_86395997_86396630",0,19,67,53,80,0,14,7,99
"chr1_86429759_86430309",2,7,31,19,34,2,12,4,42
"chr1_86704252_86705047",3,73,162,84,190,3,34,8,216
"chr1_86774142_86774758",2,25,61,28,62,2,16,3,63
"chr1_86913915_86914757",1,72,179,113,173,1,34,15,175
"chr1_87328142_87328738",0,41,84,52,82,0,20,8,117
"chr1_87902781_87903320",3,24,52,23,50,0,15,3,63
"chr1_88683782_88684534",1,58,133,92,182,0,38,5,217
"chr1_88891333_88891920",7,33,69,37,79,5,18,9,82
"chr1_88992558_88993302",4,67,136,101,180,0,33,8,198
"chr1_89524123_89525326",6,46,86,37,68,2,16,2,95
"chr1_89757445_89758062",1,27,66,23,38,4,11,3,52
"chr1_89820480_89821722",2,67,109,45,82,1,21,3,132
"chr1_89843100_89844263",5,49,75,27,55,0,15,6,68
"chr1_89994741_89995391",1,54,83,62,118,1,22,5,165
"chr1_90325098_90325656",0,27,38,13,29,0,11,4,45
"chr1_91021590_91022485",0,57,115,73,119,0,34,6,174
"chr1_91500540_91501667",1,42,114,51,87,2,26,14,125
"chr1_92298655_92299239",0,37,78,26,48,0,16,5,92
"chr1_92459754_92460357",2,37,89,22,51,1,13,3,66
"chr1_92485786_92486424",5,25,58,16,56,2,13,1,70
"chr1_92784630_92785597",5,58,119,39,105,1,21,14,186
"chr1_92831726_92832488",1,43,95,34,72,0,17,3,113
"chr1_93179559_93180830",2,107,168,104,219,0,39,14,263
"chr1_93345460_93346173",0,26,73,25,52,2,12,6,75
"chr1_93847084_93847786",1,40,89,32,68,0,11,4,105
"chr1_93878718_93879461",0,22,59,18,39,0,10,1,54
"chr1_93909249_93910047",1,44,66,44,66,1,10,4,80
"chr1_94417887_94418769",0,49,123,78,166,0,24,7,164
"chr1_94602131_94602903",0,33,87,40,80,0,14,10,92
"chr1_95072427_95073236",1,52,136,85,126,3,31,4,162
"chr1_95233707_95234554",5,25,107,66,132,0,30,4,150
"chr1_96362545_96363167",0,16,74,39,44,1,15,2,40
"chr1_96465417_96465919",0,16,25,10,22,0,10,3,27
"chr1_96721297_96722225",2,42,95,46,82,4,25,9,91
"chr1_97920627_97921684",0,48,82,106,156,1,26,8,160
"chr1_98323722_98324505",3,32,120,59,99,2,13,5,88
"chr1_98871127_98872039",2,47,130,72,132,0,21,15,144
"chr1_99849841_99850426",1,29,57,32,62,0,15,5,82
"chr1_99969670_99970266",2,34,76,35,65,1,20,3,68
"chr1_100037816_100038454",1,24,58,24,39,1,10,2,62
"chr1_100132497_100133425",3,65,138,77,151,0,30,7,183
"chr1_100249653_100250228",5,41,94,61,107,0,14,3,108
"chr1_100265946_100266561",1,29,95,39,59,0,20,5,89
"chr1_100351122_100351921",2,41,64,34,69,0,17,7,84
"chr1_100351996_100352587",0,28,64,32,49,0,16,2,72
"chr1_100463605_100464464",2,31,71,30,46,0,14,1,68
"chr1_100895533_100896341",3,38,61,38,83,2,13,5,82
"chr1_101025555_101026317",3,40,88,43,76,0,16,4,112
"chr1_101257726_101258259",2,18,44,23,50,0,12,2,65
"chr1_101291534_101292150",0,21,61,30,42,2,11,4,51
"chr1_103525455_103526086",0,24,55,32,79,0,16,7,98
"chr1_103561526_103562071",1,7,10,6,22,2,9,2,19
"chr1_107056326_107057386",2,44,118,75,134,1,31,9,158
"chr1_108559639_108560259",1,21,42,35,52,1,9,0,56
"chr1_108646708_108647234",0,42,67,30,51,1,18,3,77
"chr1_108692043_108692724",4,47,71,33,81,4,11,7,83
"chr1_108746257_108747311",0,68,115,58,133,0,22,11,161
"chr1_108876673_108877301",1,34,59,32,53,0,20,3,83
"chr1_108963082_108963812",2,32,71,31,61,0,10,4,99
"chr1_109041720_109042428",1,46,74,36,95,2,18,5,98
"chr1_109090369_109091132",1,43,109,36,72,0,18,6,117
"chr1_109099719_109100474",2,43,85,32,64,2,16,6,104
"chr1_109213503_109214202",6,25,49,21,49,3,6,0,68
"chr1_109282991_109283560",0,39,48,25,51,1,11,2,85
"chr1_109426193_109426919",1,84,142,58,142,1,12,6,150
"chr1_109483716_109484257",1,32,44,17,38,1,11,1,79
"chr1_109493706_109494448",0,32,68,18,41,0,10,1,74
"chr1_109548228_109548840",0,35,48,23,41,0,10,1,51
"chr1_109615680_109616331",2,32,60,21,32,0,11,1,59
"chr1_109790640_109791259",7,26,50,11,35,3,12,3,53
"chr1_109984360_109984909",3,63,93,34,58,1,15,2,90
"chr1_110338163_110339638",4,185,338,196,387,3,64,14,452
"chr1_110963684_110964313",6,70,128,74,149,1,23,9,198
"chr1_111449024_111449676",1,37,79,36,66,0,11,4,102
"chr1_111507435_111508391",2,59,101,36,76,1,15,2,92
"chr1_111755257_111755980",2,56,119,46,100,0,13,9,131
"chr1_112955619_112956624",0,62,81,41,92,0,13,6,135
"chr1_113072546_113073462",2,58,113,40,99,1,13,4,102
"chr1_113389963_113390589",1,39,66,30,75,0,18,7,99
"chr1_113759170_113760176",9,46,71,22,49,1,12,6,65
"chr1_113811968_113812761",2,58,133,57,109,2,30,9,157
"chr1_113904651_113905488",0,112,183,110,204,0,35,14,272
"chr1_113929051_113929807",2,48,74,23,50,3,15,4,71
"chr1_114511007_114511582",0,25,54,19,45,4,8,3,66
"chr1_114757358_114758255",2,73,93,46,112,5,19,4,140
"chr1_114780294_114780907",7,39,72,21,44,0,12,1,89
"chr1_116372801_116373535",1,44,75,59,98,1,23,6,121
"chr1_116504253_116504876",3,53,82,28,81,2,20,6,99
"chr1_116514936_116515535",4,52,84,28,62,1,19,2,82
"chr1_116570611_116571288",0,23,47,28,43,0,11,4,72
"chr1_116990503_116991033",2,21,38,7,23,0,7,4,38
"chr1_117059883_117060498",5,54,124,68,126,1,15,6,163
"chr1_117121540_117122145",2,31,50,17,53,1,13,3,72
"chr1_117366449_117367707",2,45,94,48,74,4,12,5,106
"chr1_117605493_117606383",1,60,98,79,137,2,33,2,177
"chr1_117928719_117929977",2,62,122,61,108,0,26,8,115
"chr1_119140082_119140936",1,63,163,102,178,0,39,7,183
"chr1_119647767_119648532",3,47,59,16,45,0,14,4,72
"chr1_121092325_121093000",2,51,102,26,60,0,13,6,96
"chr1_121184333_121184903",1,4,14,10,24,0,6,3,61
"chr1_143879665_143880446",1,50,98,35,70,1,19,4,104
"chr1_143884433_143885109",0,25,41,20,32,0,10,6,55
"chr1_145823513_145824313",0,28,51,17,44,0,5,3,80
"chr1_145872063_145872820",0,28,60,3,24,0,10,4,58
"chr1_145927248_145927850",0,40,75,24,40,1,12,7,58
"chr1_145957667_145958328",5,51,62,38,59,0,11,7,93
"chr1_147172181_147172943",9,48,84,40,73,2,14,3,98
"chr1_147242366_147242972",4,37,67,24,43,0,12,7,99
"chr1_149787776_149788439",2,50,76,34,56,0,14,5,88
"chr1_149832268_149832937",6,39,60,30,57,12,13,3,116
"chr1_149842459_149843116",0,41,85,49,85,0,13,8,124
"chr1_149850635_149851367",3,49,92,59,84,2,20,9,136
"chr1_149860589_149861440",0,40,77,35,61,2,11,4,71
"chr1_149886553_149887167",4,40,55,37,60,1,14,1,87
"chr1_150235812_150236406",4,54,88,38,86,1,14,4,97
"chr1_150268743_150269368",0,29,41,19,32,0,9,3,62
"chr1_150363404_150364245",3,41,80,51,111,1,22,5,150
"chr1_150515345_150515971",0,32,38,28,49,0,13,6,79
"chr1_150628949_150629925",0,113,151,72,157,0,20,5,209
"chr1_150876393_150877082",3,55,87,58,153,0,23,7,171
"chr1_150925967_150926478",0,26,46,19,45,0,8,3,53
"chr1_151281141_151282514",3,143,202,129,228,6,46,14,304
"chr1_151347047_151347650",1,49,69,19,52,3,12,2,68
"chr1_151539615_151540496",3,41,63,18,49,1,10,4,81
"chr1_152047937_152048532",2,40,95,31,71,2,11,5,97
"chr1_153544708_153545741",5,47,99,31,51,1,16,7,86
"chr1_153633699_153634247",5,58,62,35,70,2,13,7,94
"chr1_153670865_153671462",0,42,72,42,81,0,15,7,108
"chr1_153922724_153923294",3,73,95,54,135,1,14,7,138
"chr1_153958274_153958970",2,36,66,31,72,3,9,5,95
"chr1_153963394_153963912",5,22,34,13,38,2,11,3,56
"chr1_154182208_154183601",2,71,123,53,94,0,24,3,149
"chr1_154220400_154220966",1,54,81,68,119,1,19,8,158
"chr1_154272216_154272843",1,31,43,10,38,0,9,1,51
"chr1_154558562_154559264",3,58,74,74,102,7,20,8,129
"chr1_154936439_154937452",6,51,84,32,64,0,17,6,118
"chr1_154974239_154975199",11,94,147,101,164,5,22,10,220
"chr1_154982888_154983526",1,40,47,27,72,4,9,3,79
"chr1_155084664_155085677",3,58,119,36,74,1,17,7,122
"chr1_155172998_155173692",8,41,65,28,34,5,9,5,77
"chr1_155308393_155308998",3,63,92,52,86,2,15,4,114
"chr1_155324095_155324936",4,45,89,39,99,2,19,10,120
"chr1_155562244_155563444",2,61,95,55,77,0,19,7,135
"chr1_155609864_155610445",1,34,72,35,70,0,19,3,110
"chr1_155688592_155689429",3,43,66,21,54,1,11,2,93
"chr1_155745368_155745938",0,40,73,36,91,0,3,8,125
"chr1_155859175_155859812",4,26,38,23,47,1,15,2,66
"chr1_156054530_156055102",6,51,67,26,26,2,6,2,81
"chr1_156193690_156194251",0,41,86,39,57,0,23,3,91
"chr1_156212728_156213477",6,59,80,32,63,2,11,2,91
"chr1_156338059_156338737",4,75,110,78,160,0,24,10,195
"chr1_156456339_156457144",3,40,57,16,58,3,9,2,70
"chr1_156500531_156501268",7,37,55,28,51,3,12,5,86
"chr1_156728503_156729097",4,53,70,22,46,0,12,5,73
"chr1_156740793_156741556",9,76,128,74,140,0,18,6,136
"chr1_156767017_156767640",5,62,99,29,86,4,14,5,115
"chr1_157138126_157138789",3,29,57,19,36,2,3,1,66
"chr1_159780401_159781112",3,60,112,41,109,1,19,3,119
"chr1_159910340_159910906",6,47,82,29,70,2,11,9,97
"chr1_160262016_160262808",8,55,93,32,65,1,14,7,106
"chr1_161045702_161046223",2,27,34,27,42,0,8,3,71
